date,horizon,fold,model,actual_risk_off,probability,threshold,alert,forward_return,future_mae
2015-11-13,20,0,candidate_risk_off,1,0.3548825651671668,0.37,0,-0.08149565792924471,-0.08574655586154549
2015-11-16,20,0,candidate_risk_off,1,0.29528832551455697,0.37,0,-0.08026980348842515,-0.08237083162808076
2018-06-11,20,1,multiclass_probability_sum,1,0.41635818785610534,0.47,0,-0.12697803597469642,-0.14430536585550743
2018-06-08,20,1,multiclass_probability_sum,1,0.3924074906762191,0.47,0,-0.12436013664009588,-0.1442957413553799
2018-06-13,20,1,multiclass_probability_sum,1,0.4321871196103875,0.47,0,-0.14306277582845955,-0.14306277582845955
2018-06-07,20,1,multiclass_probability_sum,1,0.40475166819621217,0.47,0,-0.1420603499538463,-0.1420603499538463
2018-05-15,20,1,multiclass_probability_sum,1,0.4392517810205099,0.47,0,-0.05037689044903865,-0.14161507895946793
2018-05-14,20,1,multiclass_probability_sum,1,0.4072880826459172,0.47,0,-0.026554266791509823,-0.13552296862425645
2018-06-06,20,1,multiclass_probability_sum,1,0.3951928209520697,0.47,0,-0.12276036093154652,-0.13262315367593766
2018-05-07,20,1,multiclass_probability_sum,1,0.39115620329024925,0.47,0,-0.04671279484366944,-0.1310894545710018
2018-05-08,20,1,multiclass_probability_sum,1,0.4192402583985808,0.47,0,-0.0362080461201468,-0.12938408696198758
2018-06-15,20,1,multiclass_probability_sum,1,0.44436447002551516,0.47,0,-0.11099361084210675,-0.12936473453850006
2018-06-14,20,1,multiclass_probability_sum,1,0.4392024753467609,0.47,0,-0.1226151637829668,-0.1285872634453721
2018-04-20,20,1,multiclass_probability_sum,1,0.46222226102668595,0.47,0,-0.12432529403436259,-0.12739388392990034
2018-06-12,20,1,multiclass_probability_sum,1,0.43268081308675255,0.47,0,-0.11362811490370138,-0.1265748525331901
2018-05-09,20,1,multiclass_probability_sum,1,0.41553946838742434,0.47,0,-0.02148810606804465,-0.12609706489427452
2018-05-16,20,1,multiclass_probability_sum,1,0.45653620115677285,0.47,0,-0.02310727946458271,-0.12387125309349405
2018-06-05,20,1,multiclass_probability_sum,1,0.425581751251894,0.47,0,-0.1211902356915485,-0.1211902356915485
2018-04-27,20,1,multiclass_probability_sum,1,0.4265308560728944,0.47,0,-0.09803893899757857,-0.11972849318728397
2018-04-26,20,1,multiclass_probability_sum,1,0.42435784544907534,0.47,0,-0.11457364577272237,-0.11457364577272237
2018-04-24,20,1,multiclass_probability_sum,1,0.4453069349951697,0.47,0,-0.11441371588133067,-0.11441371588133067
2018-01-26,20,1,multiclass_probability_sum,1,0.4038534852548883,0.47,0,0.004980228010432831,-0.10549597274602475
2018-06-25,20,1,multiclass_probability_sum,1,0.46681349077436485,0.47,0,-0.05582429534708127,-0.10346432159724586
2018-01-30,20,1,multiclass_probability_sum,1,0.40862258348100977,0.47,0,0.008723187753078022,-0.1009321340815314
2018-01-31,20,1,multiclass_probability_sum,1,0.44602140124567324,0.47,0,0.0017096943812411475,-0.10075202853919697
2018-01-29,20,1,multiclass_probability_sum,1,0.4472732022835273,0.47,0,-0.014814547837073599,-0.10024756038205868
2018-05-02,20,1,multiclass_probability_sum,1,0.40964217018704885,0.47,0,-0.08153868882083272,-0.09935593983653379
2018-05-03,20,1,multiclass_probability_sum,1,0.40471949360554715,0.47,0,-0.05528736665305167,-0.09680672997554111
2018-06-22,20,1,multiclass_probability_sum,1,0.454940835443596,0.47,0,-0.05195892523656402,-0.09601630901460667
2018-06-26,20,1,multiclass_probability_sum,1,0.439162105673465,0.47,0,-0.05106737815440127,-0.0958637296603316
2018-01-25,20,1,multiclass_probability_sum,1,0.41588015988272786,0.47,0,0.010106555246028994,-0.09552386043589407
2018-02-01,20,1,multiclass_probability_sum,1,0.422093051373297,0.47,0,0.022017059729551546,-0.09107787626771777
2018-10-17,20,1,multiclass_probability_sum,1,0.4251956136820465,0.47,0,-0.07551663399175701,-0.08919572883802962
2018-10-12,20,1,multiclass_probability_sum,1,0.44412411517934225,0.47,0,-0.05923073454195697,-0.08763007403343273
2018-06-27,20,1,multiclass_probability_sum,1,0.4636714039818808,0.47,0,-0.043592684189000426,-0.08140599216043537
2018-10-18,20,1,multiclass_probability_sum,1,0.43852208767314693,0.47,0,-0.07131827872941754,-0.08079288259810541
2018-10-16,20,1,multiclass_probability_sum,1,0.44055696744465067,0.47,0,-0.06208280892399484,-0.08068908570776695
2018-01-22,20,1,multiclass_probability_sum,1,0.44888519992986264,0.47,0,0.030894822803741808,-0.07987565952879998
2018-10-19,20,1,multiclass_probability_sum,1,0.43043803492854416,0.47,0,-0.06484186304936494,-0.07547502197317144
2018-10-22,20,1,multiclass_probability_sum,1,0.45036997628673836,0.47,0,-0.040068047950095984,-0.07040144437247012
2018-03-22,20,1,multiclass_probability_sum,1,0.46229164076077484,0.47,0,-0.06860240459994743,-0.06860240459994743
2018-10-15,20,1,multiclass_probability_sum,1,0.43212799430999527,0.47,0,-0.03585871098188221,-0.06843834372365518
2018-06-04,20,1,multiclass_probability_sum,1,0.4069247744722214,0.47,0,-0.06798372251241235,-0.06798372251241235
2018-09-20,20,1,multiclass_probability_sum,1,0.46042988481121594,0.47,0,-0.04194272966713021,-0.060357797334047766
2018-01-15,20,1,multiclass_probability_sum,1,0.40876693405704434,0.47,0,0.022022446583360916,-0.05760488798796472
2018-01-16,20,1,multiclass_probability_sum,1,0.45005701696588374,0.47,0,0.0122208730909004,-0.057125210773310314
2017-12-01,20,1,multiclass_probability_sum,1,0.4290454334562902,0.47,0,0.024592794358526612,-0.04567889286242426
2018-09-13,20,1,multiclass_probability_sum,1,0.46973332181324223,0.47,0,-0.04350580595865082,-0.04350580595865082
2018-01-10,20,1,multiclass_probability_sum,1,0.4644118499138671,0.47,0,-0.03346949362639554,-0.03346949362639554
2017-04-11,20,1,multiclass_probability_sum,1,0.4230999969182003,0.47,0,-0.008706932615436674,-0.03301409694160374
2017-08-01,20,1,multiclass_probability_sum,1,0.4342701766774464,0.47,0,-0.01637616361584269,-0.033011840917530046
2017-04-10,20,1,multiclass_probability_sum,1,0.4372761260553287,0.47,0,-0.007646958552369185,-0.031015738762205963
2017-03-27,20,1,multiclass_probability_sum,1,0.4105995016367771,0.47,0,-0.022277491759671322,-0.022277491759671322
2017-03-24,20,1,multiclass_probability_sum,1,0.382754895769907,0.47,0,-0.01781358009204111,-0.01781358009204111
2017-03-28,20,1,multiclass_probability_sum,1,0.4665691127225363,0.47,0,-0.012901599229970945,-0.016372208376640208
2020-02-25,20,2,multiclass_probability_sum,1,0.338042181947794,0.46,0,-0.32203974799631657,-0.32203974799631657
2020-02-27,20,2,multiclass_probability_sum,1,0.39546758106947105,0.46,0,-0.2578854176360755,-0.30961777764748144
2020-02-26,20,2,multiclass_probability_sum,1,0.41493622486645054,0.46,0,-0.26085307946127,-0.30686478188842115
2020-02-24,20,2,multiclass_probability_sum,1,0.3806984726244655,0.46,0,-0.30392384099123926,-0.30392384099123926
2020-03-05,20,2,multiclass_probability_sum,1,0.43769810972863255,0.46,0,-0.24128520194357536,-0.30389151670957726
2020-03-06,20,2,multiclass_probability_sum,1,0.4320978411787504,0.46,0,-0.19058951112099445,-0.3017959843556858
