model,horizon,fold,tn,fp,fn,tp
multiclass_probability_sum,20,0,14,361,0,122
candidate_risk_off,20,0,3,372,2,120
multiclass_probability_sum,20,1,152,229,53,63
candidate_risk_off,20,1,0,381,0,116
multiclass_probability_sum,20,2,130,223,82,62
candidate_risk_off,20,2,156,197,99,45
multiclass_probability_sum,40,0,46,329,9,111
candidate_risk_off,40,0,0,375,10,110
multiclass_probability_sum,40,1,84,307,11,93
candidate_risk_off,40,1,0,391,0,104
multiclass_probability_sum,40,2,2,347,9,137
candidate_risk_off,40,2,26,323,18,128
multiclass_probability_sum,60,0,39,352,13,89
candidate_risk_off,60,0,0,391,0,102
multiclass_probability_sum,60,1,60,324,4,105
candidate_risk_off,60,1,345,39,83,26
multiclass_probability_sum,60,2,0,363,6,124
candidate_risk_off,60,2,0,363,12,118
