model,horizon,fold,n_obs,threshold,recall,precision,f1,specificity,false_negative_rate,false_positive_rate,pr_auc,roc_auc,brier,log_loss,ece,calibration_slope,calibration_intercept,expected_false_negative_loss,expected_false_positive_opportunity_cost,expected_cost,worst_missed_drawdown,mean_missed_drawdown,alert_fraction,tp,fp,fn,tn,multiclass_macro_f1,selected_kind,selected_feature_group
multiclass_probability_sum,20,0,497,0.42,1.0,0.2525879917184265,0.4033057851239669,0.037333333333333336,0.0,0.9626666666666667,0.3833520223988004,0.665136612021858,0.25771766524251444,0.7086846150730984,0.28446350312110874,3.6150688252503116,-1.6792025911306727,0.0,0.02196582845044501,0.02196582845044501,,,0.971830985915493,122,361,0,14,0.16274499167497303,EBM_probability_sum,base
candidate_risk_off,20,0,497,0.37,0.9836065573770492,0.24390243902439024,0.39087947882736157,0.008,0.01639344262295082,0.992,0.23435924744371675,0.5137267759562841,0.3047515835198541,0.8062288091210775,0.3439389272092944,0.1626985493818108,-1.1814243879038022,0.00033826436114612924,0.022743404783335554,0.023758197866773943,0.08574655586154549,0.08405869374481312,0.9899396378269618,120,372,2,3,0.16274499167497303,logistic,base_plus_downside_all
multiclass_probability_sum,20,1,497,0.47,0.5431034482758621,0.21575342465753425,0.3088235294117647,0.3989501312335958,0.45689655172413796,0.6010498687664042,0.2871610865145474,0.4843198479500408,0.24479035457961554,0.6825858437345194,0.2542636974546413,-0.028856837757645866,-1.1912704801115364,0.009784764560826673,0.018902603336117353,0.048256897018597374,0.14430536585550743,0.09175524503265768,0.5875251509054326,63,229,53,152,0.29812511837132283,EBM_probability_sum,base
candidate_risk_off,20,1,497,0.05,1.0,0.23340040241448692,0.37846655791190864,0.0,0.0,1.0,0.24933422527368237,0.5537605213141461,0.26946859840792386,0.7337177748797559,0.2940772469913366,0.2633796167200178,-1.221096960700097,0.0,0.029210255022592845,0.029210255022592845,,,1.0,116,381,0,0,0.29812511837132283,hist_gradient_boosting,base_plus_downside_all
multiclass_probability_sum,20,2,497,0.46,0.4305555555555556,0.21754385964912282,0.289044289044289,0.36827195467422097,0.5694444444444444,0.6317280453257791,0.21521982853033905,0.34802880075542963,0.27070664418884427,0.7360181338468819,0.21622844862920856,-1.455972972291045,-1.0851864022418893,0.019513139831975782,0.013591902165803041,0.07213132166173038,0.32203974799631657,0.11826866459136541,0.5734406438631791,62,223,82,130,0.15440580787362707,EBM_probability_sum,base
candidate_risk_off,20,2,497,0.57,0.3125,0.1859504132231405,0.23316062176165803,0.44192634560906513,0.6875,0.5580736543909348,0.21552771239957735,0.3330775889203651,0.29958641358450816,0.7947210150406491,0.28173797639740156,-2.445841438655959,-0.3617611906562028,0.02321164628217528,0.011091725971388846,0.08072666481791468,0.32203974799631657,0.11652715355799105,0.4869215291750503,45,197,99,156,0.15440580787362707,ebm,base_plus_downside_all
multiclass_probability_sum,40,0,495,0.4,0.925,0.25227272727272726,0.3964285714285714,0.12266666666666666,0.075,0.8773333333333333,0.2876789104371191,0.5477333333333334,0.2619050036686137,0.7178254323253788,0.2760317713640561,0.5237675599985842,-1.1901986426523843,0.0014726856061597952,0.032154444039816675,0.03657250085829607,0.09492042840510204,0.08099770833878873,0.8888888888888888,111,329,9,46,0.15086962836549808,EBM_probability_sum,base
candidate_risk_off,40,0,495,0.29,0.9166666666666666,0.2268041237113402,0.36363636363636365,0.0,0.08333333333333333,1.0,0.19582036135661818,0.40975555555555554,0.3166812468621831,0.8351293212067783,0.3658138813055616,-1.0986339680935395,-0.8809827869264216,0.0017010331960716537,0.03567558455680458,0.04077868414501954,0.09212270368139987,0.08420114320554686,0.9797979797979798,110,375,10,0,0.15086962836549808,logistic,base_plus_downside_price
multiclass_probability_sum,40,1,495,0.39,0.8942307692307693,0.2325,0.36904761904761907,0.21483375959079284,0.10576923076923077,0.7851662404092071,0.2736723493001667,0.5872024395042298,0.2270982241132536,0.646470113991913,0.25126485629030926,1.0107113433236863,-1.1912751579114502,0.002638374901502179,0.04005405910724369,0.04796918381175023,0.1708596326470173,0.11872687056759806,0.8080808080808081,93,307,11,84,0.34220522955516136,EBM_probability_sum,base
candidate_risk_off,40,1,495,0.05,1.0,0.2101010101010101,0.34724540901502504,0.0,0.0,1.0,0.33790722197863005,0.6466407633287429,0.271523256503806,0.7371914015155541,0.3368323368423727,1.9271599012832406,-1.7673501743942148,0.0,0.048559470468182465,0.048559470468182465,,,1.0,104,391,0,0,0.34220522955516136,ebm,base_plus_downside_price
