horizon,class,metric,estimate,ci_low,ci_high,support,replicates,block_length
20,Bull,recall,0.3103448275862069,0.22726788014443483,0.40080808599660045,667,300,20
20,Bull,precision,0.45295404814004375,0.33693754667662434,0.5691344417852794,667,300,20
20,Bull,f1,0.3683274021352313,0.2798147798147798,0.4530302195531803,667,300,20
20,Bull,pr_auc,0.4249061024726202,0.34208658255193725,0.5242830815816932,667,300,20
20,Bull,brier,0.28723900536002506,0.2530747793583676,0.3258932715266279,667,300,20
20,Sideway,recall,0.18099547511312217,0.08994654434377858,0.28200021884232407,442,300,20
20,Sideway,precision,0.28169014084507044,0.1695677570093458,0.37736653484923377,442,300,20
20,Sideway,f1,0.22038567493112948,0.12252107771260999,0.30747155726406117,442,300,20
20,Sideway,pr_auc,0.2797251302848299,0.2138810305003262,0.3490712697572101,442,300,20
20,Sideway,brier,0.2173523884599494,0.18148633595845742,0.24319308888653848,442,300,20
20,Bear,recall,0.10416666666666667,0.04101620029455081,0.19622972328244265,144,300,20
20,Bear,precision,0.07653061224489796,0.033428297566430586,0.1372864798481634,144,300,20
20,Bear,f1,0.08823529411764706,0.03726882717838716,0.15270701528469843,144,300,20
20,Bear,pr_auc,0.08691134193130869,0.05998779045251358,0.1282038754174535,144,300,20
20,Bear,brier,0.10821398084636741,0.09350826157277525,0.12720207122154284,144,300,20
20,Stress,recall,0.29411764705882354,0.12962680296877188,0.4832149706340644,238,300,20
20,Stress,precision,0.1263537906137184,0.05842277233875088,0.21789405684754515,238,300,20
20,Stress,f1,0.17676767676767677,0.0806482939632546,0.28178941908713684,238,300,20
20,Stress,pr_auc,0.13887486362209944,0.08686272307936602,0.20223699886132657,238,300,20
20,Stress,brier,0.15181028649321732,0.1269828720098028,0.18229019246682376,238,300,20
40,Bull,recall,0.32226832641770403,0.23100922421151446,0.42179493420869607,723,300,20
40,Bull,precision,0.466,0.3303480462550072,0.6042683595177201,723,300,20
40,Bull,f1,0.3810302534750613,0.2843300208244013,0.4774520472458476,723,300,20
40,Bull,pr_auc,0.44377093816857294,0.3520414723450466,0.5621980129880999,723,300,20
40,Bull,brier,0.31617358700846865,0.27885538759349704,0.3581436107744162,723,300,20
40,Sideway,recall,0.3137755102040816,0.16366205030245146,0.43904518698060935,392,300,20
40,Sideway,precision,0.37272727272727274,0.21838746280699983,0.49831227962069086,392,300,20
40,Sideway,f1,0.3407202216066482,0.19211117252815588,0.4379599811311454,392,300,20
40,Sideway,pr_auc,0.38056739809011114,0.2479791911160241,0.5040421919658071,392,300,20
40,Sideway,brier,0.18916327896039983,0.15795385088394237,0.22473498803066502,392,300,20
40,Bear,recall,0.0125,0.0,0.034990820073439406,160,300,20
40,Bear,precision,0.02631578947368421,0.0,0.07585826620636747,160,300,20
40,Bear,f1,0.01694915254237288,0.0,0.04784090909090899,160,300,20
40,Bear,pr_auc,0.09267782037515077,0.055485925377461554,0.1357976726467523,160,300,20
40,Bear,brier,0.11093773618332683,0.0798034822260441,0.1444120989023943,160,300,20
40,Stress,recall,0.35714285714285715,0.18840801748702135,0.5403345859228212,210,300,20
40,Stress,precision,0.12953367875647667,0.05811596085130757,0.19885033444816053,210,300,20
40,Stress,f1,0.19011406844106463,0.08875554187192118,0.2803451327433628,210,300,20
40,Stress,pr_auc,0.13561023710436035,0.07339466201545475,0.1892770612234925,210,300,20
40,Stress,brier,0.15913340262324213,0.13091974897224198,0.18963712090253976,210,300,20
60,Bull,recall,0.3604336043360434,0.2519171120352139,0.4856589201252282,738,300,20
60,Bull,precision,0.5683760683760684,0.4035881244450887,0.7254167319772838,738,300,20
60,Bull,f1,0.44112769485903813,0.32362354467342763,0.5498649445872487,738,300,20
60,Bull,pr_auc,0.48456186553892966,0.37813872896939627,0.6238149962933479,738,300,20
60,Bull,brier,0.3151574312144107,0.2649356252643568,0.36257165367588046,738,300,20
60,Sideway,recall,0.2825,0.16962976946653044,0.41240123218538116,400,300,20
60,Sideway,precision,0.46502057613168724,0.3178408111869574,0.6349102338096121,400,300,20
60,Sideway,f1,0.3514774494556765,0.2384165170556553,0.46523665397867375,400,300,20
60,Sideway,pr_auc,0.3610838927682911,0.2576710032888685,0.486747083379659,400,300,20
60,Sideway,brier,0.19376552517272025,0.15860183030804975,0.23553900223082333,400,300,20
60,Bear,recall,0.06716417910447761,0.006980519480519481,0.17179594571955095,134,300,20
60,Bear,precision,0.04639175257731959,0.004364215910826081,0.10029329608938546,134,300,20
60,Bear,f1,0.054878048780487805,0.005854685463401249,0.1218986698462651,134,300,20
60,Bear,pr_auc,0.08533077387635499,0.04903402184553366,0.13152845426109855,134,300,20
60,Bear,brier,0.1006934901685392,0.07014331051648537,0.13672794979181627,134,300,20
60,Stress,recall,0.3333333333333333,0.1652121936640765,0.5546659574468085,207,300,20
60,Stress,precision,0.12020905923344948,0.03814752693565748,0.21252205332317103,207,300,20
60,Stress,f1,0.176696542893726,0.06441876463853967,0.28422096030570476,207,300,20
60,Stress,pr_auc,0.1332924818593811,0.06275074975474544,0.24379313131357522,207,300,20
60,Stress,brier,0.16262888119318925,0.1328013173350517,0.1955491316719726,207,300,20
