model,horizon,fold,class,precision,recall,f1,support,evaluation_scope
multiclass_ebm_baseline,20,0,Bull,0.35294117647058826,0.10666666666666667,0.16382252559726962,225,nested_purged_development_oos
multiclass_ebm_baseline,20,0,Sideway,0.2909090909090909,0.10666666666666667,0.15609756097560976,150,nested_purged_development_oos
multiclass_ebm_baseline,20,0,Bear,0.06422018348623854,0.14583333333333334,0.08917197452229299,48,nested_purged_development_oos
multiclass_ebm_baseline,20,0,Stress,0.15471698113207547,0.5540540540540541,0.24188790560471976,74,nested_purged_development_oos
multiclass_ebm_baseline,20,1,Bull,0.5897435897435898,0.4637096774193548,0.5191873589164786,248,nested_purged_development_oos
multiclass_ebm_baseline,20,1,Sideway,0.33884297520661155,0.3082706766917293,0.3228346456692913,133,nested_purged_development_oos
multiclass_ebm_baseline,20,1,Bear,0.14893617021276595,0.17073170731707318,0.1590909090909091,41,nested_purged_development_oos
multiclass_ebm_baseline,20,1,Stress,0.14925373134328357,0.26666666666666666,0.19138755980861244,75,nested_purged_development_oos
multiclass_ebm_baseline,20,2,Bull,0.35051546391752575,0.35051546391752575,0.35051546391752575,194,nested_purged_development_oos
multiclass_ebm_baseline,20,2,Sideway,0.21296296296296297,0.14465408805031446,0.17228464419475656,159,nested_purged_development_oos
multiclass_ebm_baseline,20,2,Bear,0.025,0.01818181818181818,0.021052631578947368,55,nested_purged_development_oos
multiclass_ebm_baseline,20,2,Stress,0.05806451612903226,0.10112359550561797,0.07377049180327869,89,nested_purged_development_oos
multiclass_ebm_baseline,40,0,Bull,0.3984375,0.1946564885496183,0.26153846153846155,262,nested_purged_development_oos
multiclass_ebm_baseline,40,0,Sideway,0.15454545454545454,0.1504424778761062,0.15246636771300448,113,nested_purged_development_oos
multiclass_ebm_baseline,40,0,Bear,0.0,0.0,0.0,47,nested_purged_development_oos
multiclass_ebm_baseline,40,0,Stress,0.12735849056603774,0.3698630136986301,0.18947368421052632,73,nested_purged_development_oos
multiclass_ebm_baseline,40,1,Bull,0.7784090909090909,0.4963768115942029,0.6061946902654868,276,nested_purged_development_oos
multiclass_ebm_baseline,40,1,Sideway,0.39568345323741005,0.4782608695652174,0.4330708661417323,115,nested_purged_development_oos
multiclass_ebm_baseline,40,1,Bear,0.1111111111111111,0.018867924528301886,0.03225806451612903,53,nested_purged_development_oos
multiclass_ebm_baseline,40,1,Stress,0.19298245614035087,0.6470588235294118,0.2972972972972973,51,nested_purged_development_oos
multiclass_ebm_baseline,40,2,Bull,0.22959183673469388,0.24324324324324326,0.23622047244094488,185,nested_purged_development_oos
multiclass_ebm_baseline,40,2,Sideway,0.6296296296296297,0.31097560975609756,0.4163265306122449,164,nested_purged_development_oos
multiclass_ebm_baseline,40,2,Bear,0.045454545454545456,0.016666666666666666,0.024390243902439025,60,nested_purged_development_oos
multiclass_ebm_baseline,40,2,Stress,0.07653061224489796,0.1744186046511628,0.10638297872340426,86,nested_purged_development_oos
multiclass_ebm_baseline,60,0,Bull,0.5220588235294118,0.3008474576271186,0.3817204301075269,236,nested_purged_development_oos
multiclass_ebm_baseline,60,0,Sideway,0.4583333333333333,0.14193548387096774,0.21674876847290642,155,nested_purged_development_oos
multiclass_ebm_baseline,60,0,Bear,0.047619047619047616,0.25806451612903225,0.08040201005025126,31,nested_purged_development_oos
multiclass_ebm_baseline,60,0,Stress,0.06382978723404255,0.1267605633802817,0.08490566037735849,71,nested_purged_development_oos
multiclass_ebm_baseline,60,1,Bull,0.9751552795031055,0.5304054054054054,0.687089715536105,296,nested_purged_development_oos
multiclass_ebm_baseline,60,1,Sideway,0.45588235294117646,0.7045454545454546,0.5535714285714286,88,nested_purged_development_oos
multiclass_ebm_baseline,60,1,Bear,0.0,0.0,0.0,62,nested_purged_development_oos
multiclass_ebm_baseline,60,1,Stress,0.20103092783505155,0.8297872340425532,0.3236514522821577,47,nested_purged_development_oos
multiclass_ebm_baseline,60,2,Bull,0.2222222222222222,0.18446601941747573,0.20159151193633953,206,nested_purged_development_oos
multiclass_ebm_baseline,60,2,Sideway,0.4915254237288136,0.18471337579617833,0.26851851851851855,157,nested_purged_development_oos
multiclass_ebm_baseline,60,2,Bear,0.041666666666666664,0.024390243902439025,0.03076923076923077,41,nested_purged_development_oos
multiclass_ebm_baseline,60,2,Stress,0.08786610878661087,0.23595505617977527,0.12804878048780488,89,nested_purged_development_oos
