model,horizon,fold,class,recall,support,precision,f1
multiclass_probability_sum,20,0,Safe,0.037333333333333336,375,,
multiclass_probability_sum,20,0,Risk-off,1.0,122,0.2525879917184265,0.4033057851239669
candidate_risk_off,20,0,Safe,0.008,375,,
candidate_risk_off,20,0,Risk-off,0.9836065573770492,122,0.24390243902439024,0.39087947882736157
multiclass_probability_sum,20,1,Safe,0.3989501312335958,381,,
multiclass_probability_sum,20,1,Risk-off,0.5431034482758621,116,0.21575342465753425,0.3088235294117647
candidate_risk_off,20,1,Safe,0.0,381,,
candidate_risk_off,20,1,Risk-off,1.0,116,0.23340040241448692,0.37846655791190864
multiclass_probability_sum,20,2,Safe,0.36827195467422097,353,,
multiclass_probability_sum,20,2,Risk-off,0.4305555555555556,144,0.21754385964912282,0.289044289044289
candidate_risk_off,20,2,Safe,0.44192634560906513,353,,
candidate_risk_off,20,2,Risk-off,0.3125,144,0.1859504132231405,0.23316062176165803
multiclass_probability_sum,40,0,Safe,0.12266666666666666,375,,
multiclass_probability_sum,40,0,Risk-off,0.925,120,0.25227272727272726,0.3964285714285714
candidate_risk_off,40,0,Safe,0.0,375,,
candidate_risk_off,40,0,Risk-off,0.9166666666666666,120,0.2268041237113402,0.36363636363636365
multiclass_probability_sum,40,1,Safe,0.21483375959079284,391,,
multiclass_probability_sum,40,1,Risk-off,0.8942307692307693,104,0.2325,0.36904761904761907
candidate_risk_off,40,1,Safe,0.0,391,,
candidate_risk_off,40,1,Risk-off,1.0,104,0.2101010101010101,0.34724540901502504
multiclass_probability_sum,40,2,Safe,0.0057306590257879654,349,,
multiclass_probability_sum,40,2,Risk-off,0.9383561643835616,146,0.2830578512396694,0.43492063492063493
candidate_risk_off,40,2,Safe,0.07449856733524356,349,,
candidate_risk_off,40,2,Risk-off,0.8767123287671232,146,0.2838137472283814,0.4288107202680067
multiclass_probability_sum,60,0,Safe,0.09974424552429667,391,,
multiclass_probability_sum,60,0,Risk-off,0.8725490196078431,102,0.2018140589569161,0.3278084714548803
candidate_risk_off,60,0,Safe,0.0,391,,
candidate_risk_off,60,0,Risk-off,1.0,102,0.20689655172413793,0.34285714285714286
multiclass_probability_sum,60,1,Safe,0.15625,384,,
multiclass_probability_sum,60,1,Risk-off,0.963302752293578,109,0.24475524475524477,0.3903345724907063
candidate_risk_off,60,1,Safe,0.8984375,384,,
candidate_risk_off,60,1,Risk-off,0.23853211009174313,109,0.4,0.2988505747126437
multiclass_probability_sum,60,2,Safe,0.0,363,,
multiclass_probability_sum,60,2,Risk-off,0.9538461538461539,130,0.2546201232032854,0.4019448946515397
candidate_risk_off,60,2,Safe,0.0,363,,
candidate_risk_off,60,2,Risk-off,0.9076923076923077,130,0.24532224532224534,0.3862520458265139
