scope,bucket,horizon,fold,model,recall,precision,support,mean_future_mae
calendar_year,2015,20,0,multiclass_probability_sum,1.0,0.413265306122449,81,
calendar_year,2016,20,0,multiclass_probability_sum,1.0,0.16942148760330578,41,
calendar_year,2017,20,0,multiclass_probability_sum,0.0,0.0,0,
severity_bucket,0,20,0,multiclass_probability_sum,1.0,,31,-0.02994689002484344
severity_bucket,1,20,0,multiclass_probability_sum,1.0,,30,-0.0542327217999654
severity_bucket,2,20,0,multiclass_probability_sum,1.0,,30,-0.07328128571628316
severity_bucket,3,20,0,multiclass_probability_sum,1.0,,31,-0.12149377274508673
calendar_year,2015,20,0,candidate_risk_off,0.9753086419753086,0.4030612244897959,81,
calendar_year,2016,20,0,candidate_risk_off,1.0,0.16334661354581673,41,
calendar_year,2017,20,0,candidate_risk_off,0.0,0.0,0,
severity_bucket,0,20,0,candidate_risk_off,1.0,,31,-0.02994689002484344
severity_bucket,1,20,0,candidate_risk_off,1.0,,30,-0.0542327217999654
severity_bucket,2,20,0,candidate_risk_off,1.0,,30,-0.07328128571628316
severity_bucket,3,20,0,candidate_risk_off,0.9354838709677419,,31,-0.12149377274508673
calendar_year,2017,20,1,multiclass_probability_sum,0.4166666666666667,0.037037037037037035,12,
calendar_year,2018,20,1,multiclass_probability_sum,0.5533980582524272,0.4956521739130435,103,
calendar_year,2019,20,1,multiclass_probability_sum,1.0,0.023809523809523808,1,
severity_bucket,0,20,1,multiclass_probability_sum,0.5862068965517241,,29,-0.04048051175082643
severity_bucket,1,20,1,multiclass_probability_sum,0.5862068965517241,,29,-0.08072337486162379
severity_bucket,2,20,1,multiclass_probability_sum,0.4827586206896552,,29,-0.1085949264161073
severity_bucket,3,20,1,multiclass_probability_sum,0.5172413793103449,,29,-0.13859372354827784
calendar_year,2017,20,1,candidate_risk_off,1.0,0.05853658536585366,12,
calendar_year,2018,20,1,candidate_risk_off,1.0,0.4153225806451613,103,
calendar_year,2019,20,1,candidate_risk_off,1.0,0.022727272727272728,1,
severity_bucket,0,20,1,candidate_risk_off,1.0,,29,-0.04048051175082643
severity_bucket,1,20,1,candidate_risk_off,1.0,,29,-0.08072337486162379
severity_bucket,2,20,1,candidate_risk_off,1.0,,29,-0.1085949264161073
severity_bucket,3,20,1,candidate_risk_off,1.0,,29,-0.13859372354827784
calendar_year,2019,20,2,multiclass_probability_sum,0.6862745098039216,0.20958083832335328,51,
calendar_year,2020,20,2,multiclass_probability_sum,0.25,0.1743119266055046,76,
calendar_year,2021,20,2,multiclass_probability_sum,0.47058823529411764,0.8888888888888888,17,
severity_bucket,0,20,2,multiclass_probability_sum,0.6388888888888888,,36,-0.03219708663466897
severity_bucket,1,20,2,multiclass_probability_sum,0.4444444444444444,,36,-0.05484174235595065
severity_bucket,2,20,2,multiclass_probability_sum,0.4722222222222222,,36,-0.09269054902061896
severity_bucket,3,20,2,multiclass_probability_sum,0.16666666666666666,,36,-0.20981696065552602
calendar_year,2019,20,2,candidate_risk_off,0.5686274509803921,0.1858974358974359,51,
calendar_year,2020,20,2,candidate_risk_off,0.19736842105263158,0.17647058823529413,76,
calendar_year,2021,20,2,candidate_risk_off,0.058823529411764705,1.0,17,
severity_bucket,0,20,2,candidate_risk_off,0.5277777777777778,,36,-0.03219708663466897
severity_bucket,1,20,2,candidate_risk_off,0.3611111111111111,,36,-0.05484174235595065
severity_bucket,2,20,2,candidate_risk_off,0.3611111111111111,,36,-0.09269054902061896
severity_bucket,3,20,2,candidate_risk_off,0.0,,36,-0.20981696065552602
calendar_year,2015,40,0,multiclass_probability_sum,0.9223300970873787,0.4634146341463415,103,
calendar_year,2016,40,0,multiclass_probability_sum,0.9411764705882353,0.07111111111111111,17,
calendar_year,2017,40,0,multiclass_probability_sum,0.0,0.0,0,
severity_bucket,0,40,0,multiclass_probability_sum,0.9333333333333333,,30,-0.0513995961300925
severity_bucket,1,40,0,multiclass_probability_sum,0.8333333333333334,,30,-0.08473495835081447
severity_bucket,2,40,0,multiclass_probability_sum,0.9333333333333333,,30,-0.10660735819903147
severity_bucket,3,40,0,multiclass_probability_sum,1.0,,30,-0.1645215731908219
calendar_year,2015,40,0,candidate_risk_off,0.9029126213592233,0.45365853658536587,103,
calendar_year,2016,40,0,candidate_risk_off,1.0,0.06772908366533864,17,
calendar_year,2017,40,0,candidate_risk_off,0.0,0.0,0,
severity_bucket,0,40,0,candidate_risk_off,0.9666666666666667,,30,-0.0513995961300925
severity_bucket,1,40,0,candidate_risk_off,0.7333333333333333,,30,-0.08473495835081447
severity_bucket,2,40,0,candidate_risk_off,0.9666666666666667,,30,-0.10660735819903147
severity_bucket,3,40,0,candidate_risk_off,1.0,,30,-0.1645215731908219
calendar_year,2017,40,1,multiclass_probability_sum,0.0,0.0,0,
calendar_year,2018,40,1,multiclass_probability_sum,0.8942307692307693,0.42660550458715596,104,
calendar_year,2019,40,1,multiclass_probability_sum,0.0,0.0,0,
severity_bucket,0,40,1,multiclass_probability_sum,0.8461538461538461,,26,-0.07977188888718463
severity_bucket,1,40,1,multiclass_probability_sum,0.9230769230769231,,26,-0.11119387613482876
severity_bucket,2,40,1,multiclass_probability_sum,0.8461538461538461,,26,-0.13996900670115056
severity_bucket,3,40,1,multiclass_probability_sum,0.9615384615384616,,26,-0.20934909171636398
calendar_year,2017,40,1,candidate_risk_off,0.0,0.0,0,
calendar_year,2018,40,1,candidate_risk_off,1.0,0.41935483870967744,104,
calendar_year,2019,40,1,candidate_risk_off,0.0,0.0,0,
severity_bucket,0,40,1,candidate_risk_off,1.0,,26,-0.07977188888718463
severity_bucket,1,40,1,candidate_risk_off,1.0,,26,-0.11119387613482876
severity_bucket,2,40,1,candidate_risk_off,1.0,,26,-0.13996900670115056
severity_bucket,3,40,1,candidate_risk_off,1.0,,26,-0.20934909171636398
calendar_year,2019,40,2,multiclass_probability_sum,1.0,0.36771300448430494,82,
calendar_year,2020,40,2,multiclass_probability_sum,0.8301886792452831,0.18106995884773663,53,
calendar_year,2021,40,2,multiclass_probability_sum,1.0,0.6111111111111112,11,
severity_bucket,0,40,2,multiclass_probability_sum,1.0,,37,-0.03383005935119479
severity_bucket,1,40,2,multiclass_probability_sum,1.0,,36,-0.05357363369637487
severity_bucket,2,40,2,multiclass_probability_sum,0.9444444444444444,,36,-0.12297397428092134
severity_bucket,3,40,2,multiclass_probability_sum,0.8108108108108109,,37,-0.325884125504294
calendar_year,2019,40,2,candidate_risk_off,0.8536585365853658,0.330188679245283,82,
calendar_year,2020,40,2,candidate_risk_off,0.8867924528301887,0.21363636363636362,53,
calendar_year,2021,40,2,candidate_risk_off,1.0,0.5789473684210527,11,
severity_bucket,0,40,2,candidate_risk_off,0.972972972972973,,37,-0.03383005935119479
severity_bucket,1,40,2,candidate_risk_off,0.7777777777777778,,36,-0.05357363369637487
severity_bucket,2,40,2,candidate_risk_off,0.8611111111111112,,36,-0.12297397428092134
severity_bucket,3,40,2,candidate_risk_off,0.8918918918918919,,37,-0.325884125504294
calendar_year,2015,60,0,multiclass_probability_sum,0.8571428571428571,0.36619718309859156,91,
calendar_year,2016,60,0,multiclass_probability_sum,1.0,0.0502283105022831,11,
calendar_year,2017,60,0,multiclass_probability_sum,0.0,0.0,0,
severity_bucket,0,60,0,multiclass_probability_sum,0.8846153846153846,,26,-0.06871942076549549
severity_bucket,1,60,0,multiclass_probability_sum,0.84,,25,-0.11577941928681285
severity_bucket,2,60,0,multiclass_probability_sum,0.88,,25,-0.14345817826898924
severity_bucket,3,60,0,multiclass_probability_sum,0.8846153846153846,,26,-0.17149671496922544
calendar_year,2015,60,0,candidate_risk_off,1.0,0.39737991266375544,91,
calendar_year,2016,60,0,candidate_risk_off,1.0,0.043824701195219126,11,
calendar_year,2017,60,0,candidate_risk_off,0.0,0.0,0,
severity_bucket,0,60,0,candidate_risk_off,1.0,,26,-0.06871942076549549
